1	1728	2986	3
2	1634	2672	3
3	1486	2208	3
4	1571	2468	3
5	3006	9040	3
6	2170	4713	3
7	2509	6300	3
8	1458	2127	3
9	3112	9689	3
10	2140	4583	3
11	2033	4135	3
12	2579	6654	3
13	1956	3827	3
14	1756	3086	3
15	3232	10448	3
16	1774	3149	3
17	1670	2791	3
18	1032	1066	3
19	1854	3438	3
20	2330	5429	3
21	2501	6259	3
22	1092	1193	1
23	573	328	1
24	955	912	1
25	475	225	1
26	491	241	1
27	1028	1057	1
28	1506	2270	1
29	980	961	1
30	945	894	1
31	773	597	1
32	863	746	1
33	642	412	1
34	618	382	1
35	926	857	1
36	718	516	1
37	1042	1087	1
38	1782	3178	1
39	358	128	1
40	414	172	1
41	628	395	1
42	413	171	1
43	5051	25517	2
44	5381	28965	2
45	5500	30255	2
46	5226	27316	2
47	6505	42323	2
48	6598	43542	2
49	11341	128628	2
50	8052	64843	2
51	6273	39362	2
52	8972	80505	2
53	3283	10781	2
54	4437	19692	2
55	3153	9945	2
56	3105	9641	2
57	5534	30632	2
58	9075	82358	2
59	5493	30179	2
60	3321	11033	2
61	2922	8543	2
62	5672	32173	2
63	8193	67125	2
64	4692	22022	2
65	372	138	0
66	170	29	0
67	299	89	0
68	357	127	0
69	325	105	0
70	319	102	0
71	296	88	0
72	283	80	0
73	310	96	0
74	265	70	0
75	200	40	0
76	166	27	0
77	334	112	0
78	221	49	0
79	414	172	0
80	267	71	0
81	167	27	0
82	323	104	0
83	194	37	0
84	417	174	0
85	238	56	0
86	332	110	0
87	432	186	0
88	266	70	0
89	169	28	0
90	195	38	0
91	353	124	0
92	543	294	0
93	491	241	0
94	209	44	0
95	401	160	0
96	425	181	0
97	414	171	0
98	461	213	0
99	133	17	0
100	168	28	0
			
